ID,warehouseId,warehouseLatitude,warehouseLongitude
8688027a-e5b5-4941-b03b-d687f7496d3b,WH001,16.5200,80.6400
c8697f92-5959-4068-94a9-d36d05e8c708,WH002,16.4900,80.6500
a7755d0b-5a62-4c2f-9098-df368506a2e1,WH003,16.5300,80.6100
0e24aeb6-27e2-42af-8cc1-609af751412b,WH004,16.5000,80.6750
de6f935d-111e-44f1-81fb-f81c2686261d,WH005,16.4750,80.6150
52ca0b5e-db76-42c2-b2d0-e6abce8f2780,WH006,16.5450,80.6250
fa8532d7-ffa4-49d7-a17e-432b59bd70cb,WH007,16.4600,80.6500
6385eab0-51d8-451c-b556-3243861cdf83,WH008,16.5150,80.6000
e1c6b88e-e620-48e3-a2b9-92fd26584b73,WH009,16.4850,80.6800
03fe2796-feb6-4d84-afb3-29486e2892b5,WH010,16.5500,80.6600
9068ec46-6ea7-4180-9156-20ec00b3dbd6,WH011,16.4450,80.6300
89d47c26-ca2c-49d9-b3d2-ceb87059d5d4,WH012,16.5350,80.6900
62318098-da8e-4f25-b349-7c7786b43de0,WH013,16.4650,80.5900
c9af8896-d02f-413a-a5c3-ca7b56ae8239,WH014,16.5050,80.7000
2f3ef462-3202-4683-95cf-c42a8bcf3795,WH015,16.5550,80.6050
f3857d1e-1890-4558-88ad-baf36a7c9c5e,WH016,16.4350,80.6650
3a919b4f-b681-4e5b-b33a-66b22c1cbcbb,WH017,16.5250,80.5850
609340fb-80d7-42ad-ba78-4f49bba72072,WH018,16.4750,80.7000
991efc94-ad41-4a35-b043-34266eb62503,WH019,16.5650,80.6450
e63b4edb-5750-4e05-859c-b8b0c84a2ade,WH020,16.4500,80.6900
